FID,ID,Lat,Lon
318,447025,36.9833,-78.7
319,446955,37.0556,-80.7842
320,446712,38.2317,-78.1208
321,446692,36.7764,-80.0272
322,446475,37.5831,-75.8217
323,445851,39.0625,-77.8892
324,445595,38.3569,-79.7264
325,444452,37.6833,-80.1
326,444414,36.6003,-78.3011
327,444246,36.9,-80.5667
328,444185,37.4167,-82.0167
329,444180,37.3653,-82.0561
330,444128,37.9969,-79.8317
331,444078,37.0167,-82
332,443623,36.8667,-81.35
333,443310,37.9458,-79.9542
334,442269,37.1167,-82.1
335,442044,37.8106,-79.9883
336,441708,38.2333,-79.1667
337,441614,36.8225,-79.4106
338,441598,38.0333,-78.5167
339,440778,37.0833,-78.0167
340,440166,37.0633,-79.165
341,440013,36.6667,-82.1
342,439691,43.65,-72.3167
343,438556,43.7917,-72.2578
344,437152,42.868,-72.916
345,437054,44.42,-72.0194
346,435982,43.3392,-72.5056
347,435733,44.1647,-72.6567
